small_group,small_group_code
Зоотовары,0
Сетевые супермаркеты и продуктовые магазины,1
Обслуживание существующего автомобиля (АЗС),2
Оплата телефона и связи,3
Аптеки,4
Авиабилеты,5
Duty-free,6
Страховка,7
Спорт,8
Универсальные товары,9
Цветы и флористика,10
Фастфуд и кафе,11
Такси и каршеринги,12
"Прочие отели (а также airbnb, booking)",13
Автодилеры и автосервис,14
Несетевые супермаркеты и продуктовые магазины,15
Онлайн-магазины,16
Онлайн-сервисы,17
Рестораны и кафе,18
Сувениры и подарки,19
Ж\Д,20
Больницы и поликлинники,21
Мобильная техника,22
Обувь,23
Одежда,24
Метро (паромы и Ж\Д аналоги),25
Разное,26
"Строительные материалы (комплектующие, свет, сантехника)",27
Бытовая техника; компьютерная техника; мобильная техника,28
"Госуслуги (транспорт, некоторые музеи, оплата кружков)",29
Табачные магазины,30
Кинотеатры,31
Парикмахерские,32
Онлайн-услуги,33
Алкогольный магазин,34
Печатная продукция (книги),35
Косметика,36
Видеоигры,37
Фотопечать,38
Одежда и аксессуары,39
Стоматологии,40
Почта России,41
"Выставки, художественные музеи, достопримечательности",42
Женская одежда,43
Размещение рекламы,44
Покупка валюты,45
Мебель и товары для дома,46
Пекарня,47
Канцелярия или художественные принадлежности,48
Ветеринарные клиники,49
Строительные материалы,50
Фотография,51
Спортивная одежда,52
Оплата налогов,53
Спортивные и фитнес-клубы,54
"Обслуживание существующего автомобиля (автозапчасти, автосервис)",55
Музыка (музыкальные инструменты и ноты),56
Магазин игрушек,57
Обслуживание существующего автомобиля (оплата парковки),58
Сетевые отели,59
Аренда лодок,60
Детская одежда,61
Очки и линзы,62
Каршеринг или аренда автотранспорта,63
Оплата ЖКХ,64
Различные активности,65
Мужская одежда,66
Ночные клубы и бары,67
Кондитерская,68
Предметы декора,69
Службы доставки до двери,70
Печатная продукция (периодика и подписки),71
Театры и другие события,72
Аренда недвижимости,73
Благотворительность и краудфандинг,74
Службы доставки и пункты самовывоза,75
Обслуживание существующего автомобиля (автомойки),76
Оплата штрафов,77
Оплата проезда,78
"Билеты на спортивные матчи, спортивные клубы и фитнес-центры",79
Аксессуары (драгоценности и часы),80
Изделия из меха,81
"Музыка (пластинки и диски, песни и треки)",82
Салоны красоты,83
Услуги ателье,84
Услуги трудоустройства,85
"Оплата курсов, мастер-классов, репетиторов",86
Программное обеспечение,87
Танцы,88
"Печатная продукция (книги, газеты, журналы)",89
Услуги БКИ,90
Оплата интернета,91
Услуги химчистки,92
Ломбард,93
Охранные услуги,94
Автобусы,95
Начальное образование,96
Морские и речные прогулки,97
Рукоделие,98
"Типографии, полиграфические услуги или издательства",99
"Фестивали, музыкальные шоу и другие события (и кидбург)",100
Художественные товары и товары для творчества,101
Медицинское оборудование (ортопедические товары),102
"Луна-парки, океанариумы и цирки",103
Сервисы знакомств,104
Среднее и высшее образование,105
Доставка еды на дом,106
Неклассифицированные расходы в аэропортах,107
Гольф,108
Азартные игры,109
Кемпинги и трейлер-парки,110
Развлекательные комплексы и боулинг,111
Аксессуары (сумки),112
Водопроводные и отопительные системы,113
Услуги починки (разное),114
"Видео (онлайн-кинотеатры, онлайн-каналы, видеосервисы)",115
"Строительные товары, спортивные тренажёры и охранное оборудование",116
СПА и массажные салоны,117
Услуги ремонта,118
"Зоопарки, океанариумы, дельфинарии, ручные еноты",119
Видео (кабельное ТВ или стрминиговые сервисы),120
Обслуживание существующего автомобиля (шиномонтаж),121
"Строительные материалы (краски, обои)",122
Компьютерная техника,123
Религиозные товары,124
Мясо и морепродукты,125
Услуги прачечных,126
"Кондиционеры, водосборники и другие коммуникации",127
Услуги уборки и клининга,128
Компьютерная техника (принтеры и картриджи),129
Оздоровительные процедуры и санатории,130
Молочные продукты и мороженное,131
Участие в различных организациях,132
"Книги, музыка, видео в электронном формате",133
Строительные материалы (лакокрасочные материалы),134
Товары для сада,135
Оптометристы и офтальмологи,136
Медицинские анализы,137
Обслуживание существующего автомобиля (автозапчасти),138
Судебные расходы и алименты,139
Юридические услуги и адвокаты,140
Аренда автотранспорта,141
Услуги починки (электроника),142
Униформа и костюмы,143
Медицинское оборудование (разное),144
Услуги починки (часы и ювелирные изделия),145
Секондхэнд,146
Биржевые и трейдинг услуги,147
Бугхалтерские услуги и аудит,148
Сопутствующие расходы,149
Антиквариат,150
Строительные подрядчики,151
Услуги химчистки (ковры),152
Велоспорт (покупка велосипеда  или комплектующих),153
Автодилеры (мотоциклы),154
Бассейны,155
Электромонтажные работы и оборудование (свет),156
"Электромонтажные работы и оборудование (сигнализации, телекоммуникации, антенны)",157
Похоронные услуги,158
Кемпинг (оборудование),159
Услуги хранения,160
Клининг,161
Нумизматика,162
Сервисные центры по ремонту техники и некоторые провайдеры,163
Обслуживание существующего автомобиля (эвакуация),164
Водный спорт (яхты),165
Онлайн-товары,166
Архитектурные и инженерно-геодезические услуги,167
Консультационные и нотариальные услуги,168
Центры развития и детские сады,169
Окна и двери,170
Офисная мебель,171
Особое оборудование,172
Металлопрокат,173
Строительные материалы (двери),174
Политический краудфандинг,175
Винодельни и пивоварни,176
"Санатории, парки, прогулки на природе",177
Камины и печи,178
Водный спорт (лодки и дайвинг),179
Костюмы и униформа,180
Прочие отели (аппартаменты),181
Натяжные потолки,182
Участие в автомобильных организациях,183
Стенографические услуги,184
Бильярд,185
Аренда трейлеров или картинг,186
Бытовая техника (электробритвы),187
Остеопаты,188
Дом на колесах,189
Услуги починки (кондиционеры и холодильники),190
Медицинское оборудование (слуховые аппараты),191
Аренда оборудования для грузовиков и трейлеров,192
Униформа и костюмы (прокат),193
Снегоходы,194
Услуги починки (мебель),195
Обслуживание существующего автомобиля (утилизация автотранспорта),196
Ортопедия,197
Наружная реклама и плоттерная резка,198
Услуги починки (металлические изделия),199
Телеграф,200
Мануальные терапевты,201
Скорая помощь,202
Бетонные работы,203
