client_id,bins
28571,0
27046,2
13240,3
19974,0
10505,1
36581,2
13137,3
29069,0
14334,1
7432,1
44221,1
40799,1
36456,0
818,3
35103,3
48997,2
4975,1
4013,3
30955,3
26778,1
709,2
9410,1
15212,1
11347,2
766,2
55,0
2493,0
46885,1
39401,0
8934,3
28519,1
42305,1
25832,0
17530,1
48947,1
8254,0
45618,0
33792,1
28826,2
20893,3
329,1
22886,1
10172,2
47151,3
8018,3
32934,2
9471,2
6775,2
42130,0
37519,2
44789,3
1957,0
6288,0
13607,3
12083,3
6819,3
22905,3
7908,3
32327,1
35169,3
43733,0
36154,1
562,0
28752,3
17965,3
18680,1
46894,3
49838,2
10065,1
30434,1
21199,1
22888,2
19620,1
39524,3
22330,1
16452,1
9474,1
9424,1
416,3
6931,0
29774,3
12093,3
27522,3
2036,2
3028,2
26191,1
45321,3
27857,1
10567,3
42917,1
7792,1
4501,2
37067,2
20991,1
35023,3
26107,2
22679,0
8954,1
28613,2
21435,1
45380,0
6473,3
23619,3
36487,1
44416,0
1902,0
5782,2
11933,3
4671,3
33340,1
41026,2
12297,1
33583,2
16470,2
512,1
49634,1
12742,0
24496,1
2470,1
42013,0
13299,1
42716,0
17430,3
18789,1
38291,2
18085,2
47109,1
17348,2
29720,1
21577,1
46695,3
13179,3
26622,2
3062,3
7316,0
24928,0
35220,0
1504,2
12612,1
3981,3
21460,2
15460,3
32877,2
48415,3
24834,1
14579,0
39217,2
6223,3
31386,1
35531,1
8703,2
38252,1
46497,1
40829,1
27354,0
47730,0
42070,2
45480,2
10554,2
28632,3
623,1
16024,2
8837,3
29333,2
33929,0
32246,3
28948,2
49131,3
4566,3
18582,2
17304,1
17577,2
18215,1
2452,0
21534,1
8613,3
6800,2
12231,3
37092,3
10531,1
2188,1
47700,2
18737,2
8774,1
27557,1
20980,3
25137,1
6555,0
22601,2
12291,2
47541,1
2278,3
6569,0
42683,1
28028,2
17335,1
4530,0
9951,0
1717,0
2820,2
3535,2
36960,2
44469,3
8973,1
19660,3
24588,2
24585,3
47070,2
781,1
26957,3
11430,2
26707,0
17444,1
28558,3
37198,0
7414,1
31053,3
3730,2
32546,3
15002,2
38798,2
18398,3
23519,2
615,3
21454,2
36951,2
21475,3
45236,2
27944,2
23561,1
5394,1
39084,1
4584,0
17847,2
43274,2
25569,0
32840,0
49103,3
39931,0
14011,2
33743,3
4701,0
11037,2
8159,1
25220,0
14566,0
9047,2
8798,2
2199,1
13939,1
29464,2
29381,3
44631,0
33375,3
27204,0
7015,2
31209,1
14707,0
10599,3
4404,1
46767,2
21786,3
35470,3
9513,1
20095,1
22237,2
9134,1
48321,2
368,2
26072,2
29309,2
37564,3
32830,2
15103,2
9685,2
49502,1
45482,0
6712,2
18252,0
14929,3
16933,2
7567,2
6222,0
38092,1
40980,3
43444,2
35218,2
341,3
7364,0
34127,2
895,3
29542,2
46476,3
30991,1
42922,3
44404,0
9658,1
36858,1
6119,1
23515,2
42924,3
9886,3
49585,2
23363,1
29989,3
20659,1
13574,2
23613,2
37883,3
41909,1
31147,1
9236,0
3627,3
2734,2
4267,2
2124,2
31048,3
10213,2
11630,3
251,0
34069,0
6026,1
9127,3
48666,3
32163,2
41620,1
24960,0
16793,3
7956,3
327,3
20777,1
10298,3
22216,0
13579,1
41124,1
29886,0
2102,3
25869,0
26890,3
24411,1
11905,1
14070,2
4128,0
12904,3
21179,2
30008,0
3808,3
39058,2
41462,2
20037,1
9962,3
